Console Name,Type,Company,Gen,Gen Years,Released Year,Generation,Discontinuation Year,Units sold (million),Remarks,Link to gif
Magnavox Odyssey,Home,Magnavox,1st Gen,1972-1978,1972,1,1975,0.35, The Magnavox Odyssey is the first commercial home video game console. It used a series of switches for selecting games and plastic overlays that could be placed on the TV screen to add visual elements to the games. It did not generate sound and did not have a CPU.,https://s12.gifyu.com/images/SVLO3.gif
Home Pong,Home,Atari,1st Gen,1972-1978,1975,1,1978,0.15,Atari's Home Pong was a dedicated console that played Pong and variations thereof. It was one of the first video game consoles developed by Atari and helped popularize video games in the domestic setting.,https://s12.gifyu.com/images/SVz99.gif
Atari 2600,Home,Atari,2nd Gen,1978-1982,1977,2,1992,30.0,"Atari2600 is often credited with popularizing home console gaming. It featured a cartridge-based system, allowing players to swap out games easily. The 2600 introduced players to classic titles like Space Invaders, Pitfall!, and Pac-Man, becoming an iconic symbol of the early gaming industry.",https://s12.gifyu.com/images/SVz3U.gif
Magnavox Odyssey 2,Home,Magnavox,2nd Gen,1978-1982,1978,2,1984,2.0,"The OdysseyÂ² featured a built-in keyboard for educational games and programmable cartridges, setting it apart from other consoles of the time. It had a moderate library of games and is remembered for titles like ""Quest for the Rings.""",https://s12.gifyu.com/images/SVz70.gif
Intellivision,Home,Mattel,2nd Gen,1978-1982,1979,2,1990,3.0,"The Intellivision boasted superior graphics and sound compared to its competitors, aiming for a more mature audience with complex games. It was the first console to challenge Atari's dominance in the market, offering innovative features like a voice synthesis module.",https://s12.gifyu.com/images/SVLBF.gif
Atari 5200/7800,Home,Atari,3rd Gen,1982-1988,1982,3,1984,2.0,"Launched in 1982 as a successor to the Atari 2600, the Atari 5200 aimed to offer more advanced gaming experiences with improved graphics and sound capabilities. However, its large size, lack of backward compatibility with 2600 games, and a non-centering joystick design led to mixed reception. Despite this, it still boasted a library of notable titles such as Ms. Pac-Man and Pitfall II: Lost Caverns.",https://s12.gifyu.com/images/SVzdV.gif
Nintendo Entertainment System,Home,Nintendo,3rd Gen,1982-1988,1983,3,1995,62.0,"The NES not only revitalized the gaming industry after the video game crash of 1983 but also introduced iconic franchises like Super Mario, The Legend of Zelda, and Metroid, which continue to thrive today.",https://s12.gifyu.com/images/SVzpe.gif
Sega Master System,Home,Sega,3rd Gen,1982-1988,1986,3,1996,13.0,"Released as a competitor to the NES, the Master System enjoyed success in markets outside of Japan, particularly in Europe and Brazil. Although it couldn't match the NES's popularity, it introduced players to iconic Sega franchises like Sonic the Hedgehog.",https://s12.gifyu.com/images/SVzhn.gif
Sega Genesis,Home,Sega,4th Gen,1988-1994,1988,4,1997,33.0,"The Mega Drive's 'Blast Processing' marketing campaign and Sonic the Hedgehog franchise challenged Nintendo's dominance, solidifying Sega as a major player in the industry.The Sega CD expanded the capabilities of the Genesis by adding CD-ROM functionality, allowing for larger games, full-motion video, and enhanced audio. While the Sega CD provided some innovative gaming experiences, it faced challenges due to its high price and limited library of quality titles. ",https://s12.gifyu.com/images/SVzNV.gif
Super Nintendo,Home,Nintendo,4th Gen,1988-1994,1990,4,2003,49.0,"In addition to its stellar first-party lineup, the SNES saw fierce competition with Sega's Genesis (Mega Drive) console, leading to the legendary console wars of the 16-bit era.",https://s12.gifyu.com/images/SVzLW.gif
PlayStation,Home,Sony,5th Gen,1994-1998,1994,5,2006,102.0,"Sony's inaugural console quickly gained traction with its CD-ROM technology, allowing for larger, more immersive gaming experiences. The PlayStation's extensive third-party support helped solidify its success.",https://s12.gifyu.com/images/SVzwL.gif
Sega Saturn,Home,Sega,5th Gen,1994-1998,1994,5,2000,9.0,"Released in 1994, the Sega Saturn faced challenges in the shadow of the PlayStation's dominance. Despite boasting impressive hardware and a strong library of arcade ports, including Sega's own Virtua Fighter series, the Saturn struggled to gain traction outside of Japan, ultimately leading to its discontinuation in most markets.",https://s12.gifyu.com/images/SVzlh.gif
Nintendo 64,Home,Nintendo,5th Gen,1994-1998,1996,5,2002,33.0,"The N64's introduction of 3D gaming, alongside its innovative controller featuring an analog stick, set a new standard for console gaming. Titles like Super Mario 64 and GoldenEye 007 remain landmarks in gaming history.",https://s12.gifyu.com/images/SVz3H.gif
Sega Dreamcast,Home,Sega,6th Gen,1998-2005,1998,6,2001,9.0,"Launched in 1998, the Dreamcast was Sega's final foray into the console market. It introduced several innovative features, including online gaming and the VMU (Visual Memory Unit), a memory card with a built-in screen. Despite critical acclaim and a strong lineup of titles such as Shenmue and Jet Set Radio, the Dreamcast faced challenges in competing with the Sony PlayStation 2 and the upcoming Microsoft Xbox. Ultimately, it was discontinued prematurely, marking the end of Sega's hardware endeavors and transitioning the company to a third-party software developer.",https://s12.gifyu.com/images/SVzQA.gif
PlayStation 2,Home,Sony,6th Gen,1998-2005,2000,6,2013,155.0,"The PS2's DVD playback capability and diverse game library made it a staple in households worldwide. Its unparalleled success, becoming the best-selling console of all time, further established Sony as a dominant force in the gaming industry..",https://s12.gifyu.com/images/SVzmR.gif
GameCube,Home,Nintendo,6th Gen,1998-2005,2001,6,2007,22.0,"Despite being overshadowed by competitors like the PlayStation 2, the GameCube featured a robust library of exclusive titles and introduced popular franchises such as Animal Crossing and Super Smash Bros. Melee.",https://s12.gifyu.com/images/SVLZe.gif
Xbox,Home,Microsoft,6th Gen,1998-2005,2001,6,2009,24.0,"Microsoft's entry into the console market marked a significant shift, bringing PC-style gaming and online multiplayer to the living room. Its built-in Ethernet port laid the groundwork for Xbox Live, an essential feature for online gaming.",https://s12.gifyu.com/images/SVznd.gif
Xbox 360,Home,Microsoft,7th Gen,2005-2012,2005,7,2016,84.0,"The Xbox 360 was a major contender in the seventh generation of consoles, offering robust online services through Xbox Live and a strong lineup of exclusive and third-party titles. While it didn't dominate the generation outright, it competed fiercely with the PlayStation 3 and the Nintendo Wii, making it one of the most competitive eras in gaming history.",https://s12.gifyu.com/images/SVLaX.gif
PlayStation 3,Home,Sony,7th Gen,2005-2012,2006,7,2017,87.0,"Despite a rocky start due to its high price point, the PS3 rebounded with exclusive titles like the Uncharted series and The Last of Us, alongside popular multi-platform releases.",https://s12.gifyu.com/images/SVzcj.gif
Wii,Home,Nintendo,7th Gen,2005-2012,2006,7,2013,101.0,"The Wii's motion controls revolutionized gaming, attracting a broad audience beyond traditional gamers. Its best-selling title, Wii Sports, became a cultural phenomenon, showcasing the system's appeal to casual players.",https://s12.gifyu.com/images/SVzc0.gif
Wii U,Home,Nintendo,8th Gen,2012-2017,2012,8,2017,14.0,"Released in 2012, the Wii U struggled to find its footing due to a lack of clear marketing and third-party support. Confusion over its identity as a successor to the Wii led to poor sales, with the system ultimately failing to meet Nintendo's expectations.",https://s12.gifyu.com/images/SVLfV.gif
PlayStation 4,Home,Sony,8th Gen,2012-2017,2013,8,ongoing,117.0,"Sony's focus on powerful hardware, along with a lineup of critically acclaimed exclusives such as Bloodborne and Horizon Zero Dawn, propelled the PS4 to become one of the best-selling consoles of all time.",https://s12.gifyu.com/images/SVLYX.gif
Xbox One,Home,Microsoft,8th Gen,2012-2017,2013,8,2020,58.0,"While initially criticized for its focus on entertainment beyond gaming, the Xbox One evolved to prioritize gaming experiences, leveraging cloud computing and services like Xbox Game Pass to expand its library and player base.",https://s12.gifyu.com/images/SVLtq.gif
Nintendo Switch,Home,Nintendo,9th Gen,2017-Ongoing,2017,9,ongoing,138.0,"Combining the best elements of home and handheld gaming, the Switch quickly became a best-seller for Nintendo, boasting a diverse library of games ranging from family-friendly titles to hardcore experiences.",https://s12.gifyu.com/images/SVLow.gif
PlayStation 5,Home,Sony,9th Gen,2017-Ongoing,2020,9,ongoing,55.0,"Released in late 2020, the PS5 represents the next generation of gaming with its powerful hardware and innovative features like ultra-fast SSD storage and haptic feedback controllers. Despite supply constraints, it quickly became one of the fastest-selling consoles in history, boasting a strong lineup of exclusive titles and promising future innovations in gaming.",https://s12.gifyu.com/images/SVLB3.gif
Xbox Series,Home,Microsoft,9th Gen,2017-Ongoing,2020,9,ongoing,28.0,"Released alongside the PlayStation 5 in late 2020, the Xbox Series X and its digital-only counterpart, the Series S, represent Microsoft's commitment to next-gen gaming. Offering powerful hardware, features like Quick Resume and Smart Delivery, and the Xbox Game Pass subscription service, the Series X/S aims to deliver high-quality gaming experiences and accessibility to players worldwide.",https://s12.gifyu.com/images/SVL13.gif
